baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
H_CCDC159	158.788514596463	0.938775471875959	0.117698221384149	7.97612284056475	1.5100166063647e-15	1.53704590361863e-11
H_AL357033.4	191.001519354747	1.16852500939184	0.145567570385124	8.02737179922913	9.95829426509749e-16	1.53704590361863e-11
H_NDC1	797.662194299835	-0.682410960925973	0.0883414183659198	-7.72470007329237	1.12117013595475e-14	5.80259149774501e-11
H_LCN12	79.22586147642	1.33140137860093	0.172404018777912	7.72256579654344	1.14011032473622e-14	5.80259149774501e-11
H_RACGAP1	707.538389821655	-0.944190277278011	0.12326515808517	-7.65983098505112	1.8617793445717e-14	7.58042077935812e-11
H_YPEL3	1020.13515748396	1.00851160768133	0.132887165845578	7.58923257384599	3.21805700702765e-14	1.09188674248448e-10
H_CLU	554.629803481774	1.21201944350941	0.160924427803356	7.53160635742922	5.01198623729157e-14	1.34365372324626e-10
H_GSDMB	846.244845709005	0.906118579537603	0.12066465434882	7.50939522785335	5.94011371903738e-14	1.34365372324626e-10
H_MBD2	886.584282761886	-0.230938664620966	0.030719226584672	-7.51772392395443	5.57380429975714e-14	1.34365372324626e-10
H_CDK2	481.647668496	-0.512727191223062	0.0686547369163851	-7.46819832472033	8.13002493460429e-14	1.65511047618674e-10
H_CDCA8	464.373454478466	-1.06897574330218	0.144635563890092	-7.39082224697165	1.45923588538665e-13	2.32019726338969e-10
H_NEK2	367.907451350936	-1.12413662574724	0.152407726850517	-7.37585061451513	1.63299039030337e-13	2.32019726338969e-10
H_SLC31A1	748.408295141916	-0.462505102095516	0.0627572733537438	-7.36974500929182	1.70954705525323e-13	2.32019726338969e-10
H_C10orf10	311.736414327544	1.27521534519311	0.1726704239871	7.38525634991417	1.52159936557869e-13	2.32019726338969e-10
H_SHMT2	1864.54885709876	-0.603732938069723	0.0818177241057917	-7.37899941202331	1.59483535823938e-13	2.32019726338969e-10
H_GARS	3021.67131736016	-0.555072528349959	0.075529529101759	-7.34907969043636	1.99576180764611e-13	2.38998346353291e-10
H_AC067931.2	15.3716200500088	1.07790531612931	0.146579841615391	7.35370774214378	1.92783006678303e-13	2.38998346353291e-10
H_ORC1	204.946635914934	-1.09311247532486	0.149556963036596	-7.30900422909352	2.69129300606906e-13	2.7394671508777e-10
H_BUB1	492.937788382129	-1.19712038783197	0.16366677321647	-7.31437642659839	2.58579339576942e-13	2.7394671508777e-10
H_KPNA2	1472.94338088879	-0.917863250408234	0.125367321235519	-7.3213915824516	2.45412555546584e-13	2.7394671508777e-10
H_ABTB1	537.440779799258	0.931247863114465	0.128064678315563	7.27169954559827	3.54992485610097e-13	2.80344941963442e-10
H_ADCY10P1	71.7312142133423	0.773514706338338	0.106674159198621	7.25119103022969	4.13122519840026e-13	2.80344941963442e-10
H_DBF4	350.838962991128	-0.713402026803648	0.0981150034546717	-7.27107987244004	3.56624986845533e-13	2.80344941963442e-10
H_KIF11	489.080082512497	-1.09443308472657	0.150086711468525	-7.29200522829823	3.05375309183667e-13	2.80344941963442e-10
H_CDHR5	2346.49197515955	0.942482597062291	0.12984190154672	7.25869373318723	3.90846300015951e-13	2.80344941963442e-10
H_SLC39A5	1840.41257127626	0.755195363404931	0.103944483273681	7.26537224122355	3.72012389940713e-13	2.80344941963442e-10
H_LRRC29	30.3671821698622	1.09484737733022	0.150000229977635	7.29897132486705	2.89976105601877e-13	2.80344941963442e-10
H_BCAM	743.289648728379	1.07671115167641	0.147938774639493	7.27808618328907	3.38589016208573e-13	2.80344941963442e-10
H_TP53INP2	1278.15659550814	1.42180360573537	0.196069619943644	7.2515242603318	4.12107189394335e-13	2.80344941963442e-10
H_CTSA	7073.99909856534	0.576816139876752	0.0794995654762638	7.25558858619136	3.99918934379825e-13	2.80344941963442e-10
H_SGO1	92.9814492606674	-1.08421330630749	0.150198250883671	-7.21854815171726	5.25455317436139e-13	3.45071592011771e-10
H_ARSD	1265.94494618901	0.751828532976841	0.104557540096581	7.19057212212883	6.45203839476033e-13	4.10470617626659e-10
H_SNX33	682.526436873725	0.494485103196942	0.0689760058166276	7.16894371227479	7.55786206959989e-13	4.66251381857317e-10
H_ASPM	426.396866668151	-1.18537184162756	0.165554546604735	-7.16000777953661	8.06724827437625e-13	4.83038354028681e-10
H_PHF19	647.652325165292	-0.689434751207593	0.0963747384467345	-7.15368739069147	8.44773279673641e-13	4.91368412217028e-10
H_CCNB1	930.966400151403	-1.1218900534341	0.156914419878963	-7.14969379040802	8.69716874940543e-13	4.91824892778877e-10
H_ANLN	735.389265793319	-1.21124196134417	0.169742700863632	-7.13575284935083	9.62588342721647e-13	5.22410778479612e-10
H_ZNF610	26.7831128705323	1.14407151914322	0.160369480385785	7.13397285063864	9.75125728569862e-13	5.22410778479612e-10
H_COLQ	19.4184864357336	1.29757222960852	0.182149701365024	7.12365828702739	1.05099424028785e-12	5.34903518594502e-10
H_MELK	509.838445852926	-1.10493201428617	0.155065817938163	-7.12556789741237	1.0365241945525e-12	5.34903518594502e-10
H_INSIG1	1102.95354822656	-0.806071606112798	0.11336088285912	-7.11066803453309	1.1548260523425e-12	5.73413384721672e-10
H_SMC2	563.198367299899	-0.808005346285237	0.113770940046819	-7.10203630164895	1.22931927447831e-12	5.95868614043557e-10
H_DLEU2	81.9427544327449	-0.851698632452486	0.120061366353725	-7.09386090062651	1.30421223320317e-12	6.17468666129071e-10
H_HNRNPA2B1	10677.5631538143	-0.411397732738716	0.0581052116597279	-7.08022087842856	1.43924876275628e-12	6.369614415694e-10
H_GAS6	2409.46870301158	0.625993629469174	0.0883883852620459	7.08230643215491	1.41774720066251e-12	6.369614415694e-10
H_TPX2	2139.77372850746	-1.12744072034182	0.159102250606288	-7.08626506567631	1.37779800697588e-12	6.369614415694e-10
