baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
H_TNS4	676.236518323256	-3.75245203784589	0.1920547673148	-19.5384477579523	5.1731634148681e-85	1.09081323765909e-80
H_DUSP6	965.130696540414	-2.98355987954305	0.179217806925429	-16.6476754220326	3.14586567568161e-62	3.31668618187112e-58
H_ETV4	1503.86235996094	-3.60980083872701	0.223810494168143	-16.1288274356566	1.60029947668051e-58	1.12479715884284e-54
H_LRP8	361.923812043799	-2.02134397773505	0.128112291089921	-15.7779082751419	4.4158083282252e-56	2.32779336022392e-52
H_PCSK9	1509.98479353565	-1.56795577674721	0.099660851817327	-15.7329156650316	8.99708960854604e-56	3.79425262971603e-52
H_SNX33	930.672816770953	0.63982229926031	0.0434679035378882	14.7194193228716	4.83796666765886e-49	1.70022275257091e-45
H_SPRED1	316.138192674913	-2.20292996313797	0.151845249961901	-14.5077304933194	1.08242978947273e-47	3.26058779154601e-44
H_NUAK2	918.034556915521	0.823076834084078	0.0573793588395109	14.3444759706397	1.15368401414302e-46	3.04082264027746e-43
H_SCD	10181.9504296649	-2.15750192581702	0.151053401134849	-14.2830410279274	2.79149239851491e-46	6.54015652389838e-43
H_EPSTI1	366.480677139287	1.72810273209278	0.121554879544036	14.2166463294197	7.22324987443001e-46	1.52309446852231e-42
H_CORO1C	2214.23425016095	-0.78116640023753	0.0553049050004111	-14.1247218530024	2.67453760507386e-45	5.1268454491443e-42
H_NOX1	708.650674577828	-2.510034081852	0.177828016773315	-14.1149529044776	3.07221118893063e-45	5.39838709414927e-42
H_VDAC1	5988.2816192955	-0.554811641224077	0.0400518255808123	-13.8523433870608	1.23128630269415e-43	1.9971463829699e-40
H_HDAC5	1043.49829480346	0.888003552837983	0.0642154534421353	13.8285024124009	1.71554977542833e-43	2.58386304033442e-40
H_CLPB	292.849387382265	-0.964520961395198	0.0713000992597163	-13.5276243849515	1.07439853130071e-41	1.51031782873379e-38
H_MYLIP	1041.11375572684	0.805018460893978	0.0597070243040715	13.4828099419968	1.97441601199985e-41	2.60203350181431e-38
H_HSPA4L	269.736857779641	-1.27419363817213	0.0953345609420121	-13.3654954256008	9.61924093940017e-41	1.12684063582329e-37
H_SUSD6	769.481978835325	1.05244508525435	0.0787301157238191	13.3677573769391	9.33119714721715e-41	1.12684063582329e-37
H_SAPCD2	2227.94992807944	-1.27094673759585	0.0958064697738148	-13.2657715141407	3.65638295534214e-40	4.05781531559707e-37
H_FASN	5778.40899255491	-1.12765585821716	0.0851640238660281	-13.2409884717411	5.08748043826889e-40	5.36373062606689e-37
H_DHCR24	4660.85712904588	-0.899052538718849	0.068062995656878	-13.2091238424355	7.77238320985007e-40	7.80421296966183e-37
H_SLC25A34	78.3619869397466	1.95973706074154	0.149282196754374	13.1277346083408	2.28387018213861e-39	2.18898575729885e-36
H_LBR	3960.29031179166	-0.854147377542644	0.065286151578104	-13.0831325923814	4.11140579394186e-39	3.76926532917644e-36
H_BMF	1106.50127489034	1.72195056810565	0.132086723054502	13.0365151643223	7.58451952506176e-39	6.66363244606051e-36
H_INTS13	622.811135034513	-0.770459211851623	0.0592284572765761	-13.0082606787114	1.09813124346675e-38	9.26207815989599e-36
H_UBA2	2280.2080830969	-0.682301543732592	0.053025741797358	-12.8673644272637	6.87068031560092e-38	5.57212173595235e-35
H_VPS9D1	422.4930771987	1.14425399643536	0.0890872980306485	12.8441879115214	9.27197910756457e-38	7.24107227637431e-35
H_FDFT1	2238.59776040109	-0.964783430392638	0.0754695116370977	-12.7837508082985	2.0208368017537e-37	1.52183445720637e-34
H_LDHA	14133.1237975274	-1.66780235634672	0.130587812752398	-12.7715008100256	2.3654892823569e-37	1.71995541406129e-34
H_AC144831.1	65.0382488480283	1.6086638124693	0.126986657421236	12.667975086021	8.89817637491712e-37	6.25423156805008e-34
H_CCND1	2416.15562077093	-0.9575891172449	0.0757579088541379	-12.6401207706065	1.26858949477251e-36	8.62886389895907e-34
H_ARSD	1240.16549620796	1.02253833513689	0.0813112540543724	12.5756065015689	2.87584719504805e-36	1.89500356108697e-33
H_ELOVL6	394.048977485608	-1.44185739052097	0.114691185784607	-12.5716495182883	3.02348998195327e-36	1.93191847755959e-33
H_ECT2	1356.45872947417	-1.60826250443048	0.128574412897872	-12.5084180295495	6.71481976658396e-36	4.16437322347616e-33
H_C11orf95	855.98171441377	1.0541306103871	0.0843942316263633	12.490552850271	8.40674259747429e-36	5.0647021260098e-33
H_ADORA2B	339.521861463443	-1.05264279320954	0.0846064035623252	-12.4416444723845	1.55273830434789e-35	9.09473330152213e-33
H_AURKA	1756.2124197359	-1.5512019251519	0.125074407736705	-12.4022328246186	2.54141747841232e-35	1.44833321485952e-32
H_ABAT	1194.80589477546	1.45778669676469	0.117816579501367	12.3733578324413	3.64268472146632e-35	2.02130657991681e-32
H_POLR3G	105.358939735731	-1.47052675849354	0.118974154139011	-12.3600522242449	4.29877368773256e-35	2.32420364050074e-32
H_FDPS	3988.45323988421	-0.678193939395814	0.0549831621290275	-12.3345750432526	5.89993713141537e-35	3.11015185882561e-32
H_SLCO4A1	1124.04795551236	-1.50099671185019	0.122256279304826	-12.2774610873582	1.19695850432587e-34	6.15587000541837e-32
H_ARL15	416.651233783202	0.696540433736031	0.0569627558238214	12.227997463647	2.20302855772184e-34	1.10602524209816e-31
H_SPRY4	288.992406288812	-2.25057611474181	0.184187050016314	-12.2189704137314	2.46182750210553e-34	1.2072115048697e-31
H_PKM	18582.619952312	-1.06140043835997	0.0868969519789168	-12.2144725929799	2.60183243067072e-34	1.2468690598437e-31
H_PBLD	621.386600516034	1.67102328202045	0.136844445109081	12.211115187675	2.71146917015026e-34	1.27053419826196e-31
H_RAD18	346.723544902549	-0.972440241685869	0.0796792361368762	-12.2044373017755	2.9433625927591e-34	1.34921181806344e-31
H_PIK3IP1	289.572764746335	1.40070060195069	0.115043252424523	12.1754259587685	4.20194659661086e-34	1.88515416885397e-31
H_RUSC1-AS1	40.9955543614082	1.23842167011463	0.10189988955479	12.1533170990214	5.50844303620935e-34	2.4198131221148e-31
H_IL33	288.831151831116	-3.22431436732415	0.266488847094496	-12.0992469383937	1.06584422490354e-33	4.5866104747584e-31
H_SLC29A2	979.656596362574	-0.78084620726305	0.0645972022729462	-12.0879260987759	1.22335912541152e-33	5.15915010368546e-31
H_GPI	6609.68256282798	-1.09734582963464	0.0908528186091671	-12.0782805248479	1.37566412440779e-33	5.68769680926721e-31
H_HOMER1	190.869247156568	-1.32916597556168	0.110126616831173	-12.0694343820561	1.53183540386607e-33	6.11420222407725e-31
H_MTFR1	948.359621790697	-0.634937517063645	0.0526082289384889	-12.0691673123236	1.53681455883569e-33	6.11420222407725e-31
H_GMPS	1648.18495169492	-0.802262333147922	0.066723756738144	-12.0236385414626	2.66952031273211e-33	1.02344555116853e-30
H_ACVR1B	2217.36222135712	0.752330079107919	0.0625679092855163	12.0242163706447	2.65091167266328e-33	1.02344555116853e-30
H_GAL	378.592748041013	-2.15145604073059	0.179280596966431	-12.0004957431809	3.53174629744387e-33	1.32982861478396e-30
H_CBFA2T2	1587.79574301584	0.68776608208753	0.0573938054570082	11.9832807148972	4.34771055431609e-33	1.60834780260191e-30
H_SQLE	3214.58269176228	-1.33802807158562	0.111821924979271	-11.965704148213	5.37397523538454e-33	1.95371796229859e-30
H_INPP5J	542.416668256731	1.27769479316576	0.106980882236684	11.9432067342554	7.04535617765356e-33	2.51793865020344e-30
H_DBF4	476.55561366608	-1.24148448388056	0.104053400593648	-11.9312245135441	8.13676927332492e-33	2.85953194828882e-30
H_SMIM3	528.541367873693	-1.50283473300095	0.126460720849172	-11.8838064729471	1.43672623637289e-32	4.96636220002601e-30
H_C10orf10	150.270433103693	1.80321640603543	0.151953242311467	11.8669162869146	1.7582991308652e-32	5.97991862474575e-30
H_BICDL2	2381.40621981473	0.836594169581018	0.0705423602312351	11.8594581587389	1.92214962404203e-32	6.43340428135718e-30
H_ACAT2	1631.05491951385	-1.34240242315915	0.113320261540914	-11.8460935838423	2.25457955605924e-32	7.42813508110394e-30
