ERBB2	EGFR	MET
CRC0190	FALSE	FALSE	FALSE
CRC0195	FALSE	FALSE	FALSE
CRC0196	FALSE	FALSE	TRUE
CRC0197	FALSE	FALSE	FALSE
CRC0198	FALSE	FALSE	FALSE
CRC0199	FALSE	FALSE	FALSE
CRC0200	FALSE	FALSE	FALSE
CRC0202	FALSE	FALSE	FALSE
CRC0203	FALSE	FALSE	FALSE
CRC0204	FALSE	FALSE	FALSE
CRC0206	FALSE	FALSE	FALSE
CRC0207	FALSE	FALSE	FALSE
CRC0210	FALSE	FALSE	FALSE
CRC0214	FALSE	FALSE	FALSE
CRC0215	FALSE	FALSE	FALSE
CRC0216	FALSE	FALSE	FALSE
CRC0217	FALSE	FALSE	FALSE
CRC0218	FALSE	FALSE	FALSE
CRC0219	FALSE	FALSE	FALSE
CRC0221	FALSE	FALSE	FALSE
CRC0222	FALSE	FALSE	FALSE
CRC0223	FALSE	FALSE	FALSE
CRC0224	FALSE	FALSE	FALSE
CRC0226	FALSE	FALSE	FALSE
CRC0227	FALSE	FALSE	FALSE
CRC0228	FALSE	FALSE	FALSE
CRC0229	FALSE	FALSE	FALSE
CRC0231	FALSE	FALSE	FALSE
CRC0232	FALSE	FALSE	FALSE
CRC0233	FALSE	FALSE	FALSE
CRC0234	FALSE	FALSE	FALSE
CRC0235	FALSE	FALSE	FALSE
CRC0237	FALSE	FALSE	FALSE
CRC0238	FALSE	FALSE	FALSE
CRC0239	FALSE	FALSE	FALSE
CRC0240	FALSE	FALSE	FALSE
CRC0254	FALSE	FALSE	FALSE
CRC0256	FALSE	FALSE	FALSE
CRC0257	FALSE	FALSE	FALSE
CRC0259	FALSE	FALSE	FALSE
CRC0261	FALSE	FALSE	FALSE
CRC0262	FALSE	FALSE	FALSE
CRC0263	FALSE	FALSE	FALSE
CRC0264	FALSE	FALSE	FALSE
CRC0265	FALSE	FALSE	FALSE
CRC0267	FALSE	FALSE	FALSE
CRC0268	FALSE	FALSE	FALSE
CRC0269	FALSE	FALSE	FALSE
CRC0272	FALSE	FALSE	FALSE
CRC0274	FALSE	FALSE	FALSE
CRC0276	FALSE	FALSE	FALSE
CRC0277	FALSE	FALSE	FALSE
CRC0281	FALSE	FALSE	FALSE
CRC0282	FALSE	FALSE	FALSE
CRC0284	FALSE	FALSE	FALSE
CRC0285	FALSE	FALSE	FALSE
CRC0287	FALSE	FALSE	FALSE
CRC0288	FALSE	FALSE	FALSE
CRC0290	FALSE	FALSE	FALSE
CRC0291	FALSE	FALSE	FALSE
CRC0292	FALSE	FALSE	FALSE
CRC0296	FALSE	FALSE	FALSE
CRC0297	FALSE	FALSE	FALSE
