ERBB2	EGFR	MET
CRC1629	TRUE	FALSE	FALSE
CRC1633	FALSE	FALSE	FALSE
CRC1634	FALSE	FALSE	FALSE
CRC1641	FALSE	FALSE	FALSE
CRC1645	FALSE	FALSE	FALSE
CRC1647	FALSE	FALSE	FALSE
CRC1648	FALSE	FALSE	FALSE
CRC1650	FALSE	FALSE	FALSE
CRC1651	FALSE	FALSE	FALSE
CRC1653	FALSE	FALSE	FALSE
CRC1665	FALSE	FALSE	FALSE
CRC1671	FALSE	FALSE	FALSE
CRC1673	FALSE	FALSE	FALSE
CRC1675	FALSE	FALSE	FALSE
CRC1681	FALSE	FALSE	FALSE
CRC1684	FALSE	FALSE	FALSE
CRC1686	FALSE	FALSE	FALSE
CRC1687	FALSE	FALSE	FALSE
CRC1690	FALSE	FALSE	FALSE
CRC1693	FALSE	FALSE	FALSE
CRC1694	FALSE	FALSE	FALSE
CRC1709	FALSE	FALSE	FALSE
CRC1716	FALSE	FALSE	FALSE
CRC1720	FALSE	FALSE	FALSE
CRC1723	FALSE	FALSE	FALSE
CRC1729	FALSE	FALSE	FALSE
CRC1731	FALSE	FALSE	FALSE
CRC1732	FALSE	FALSE	FALSE
CRC1737	FALSE	FALSE	FALSE
CRC1738	FALSE	FALSE	FALSE
CRC1739	FALSE	FALSE	FALSE
CRC1744	FALSE	FALSE	FALSE
CRC1745	FALSE	FALSE	FALSE
CRC1746	FALSE	FALSE	FALSE
CRC1748	FALSE	FALSE	FALSE
CRC1750	FALSE	FALSE	FALSE
CRC1754	FALSE	FALSE	FALSE
CRC1757	FALSE	FALSE	FALSE
CRC1765	FALSE	FALSE	FALSE
CRC1770	FALSE	FALSE	FALSE
CRC1771	FALSE	FALSE	FALSE
CRC1772	FALSE	FALSE	FALSE
CRC1774	FALSE	FALSE	FALSE
CRC1779	FALSE	FALSE	FALSE
CRC1782	FALSE	FALSE	FALSE
CRC1784	FALSE	FALSE	FALSE
CRC1792	FALSE	FALSE	FALSE
CRC1794	FALSE	FALSE	FALSE
CRC1807	FALSE	FALSE	FALSE
CRC1811	FALSE	FALSE	FALSE
CRC1812	FALSE	FALSE	FALSE
CRC1813	FALSE	FALSE	FALSE
CRC1814	FALSE	FALSE	FALSE
CRC1815	FALSE	FALSE	FALSE
CRC1816	FALSE	FALSE	FALSE
CRC1817	FALSE	FALSE	FALSE
CRC1819	FALSE	FALSE	FALSE
CRC1823	FALSE	FALSE	FALSE
CRC1824	TRUE	FALSE	FALSE
CRC1825	FALSE	FALSE	FALSE
CRC1826	FALSE	FALSE	FALSE
CRC1837	FALSE	FALSE	FALSE
CRC1844	FALSE	FALSE	FALSE
CRC1848	FALSE	FALSE	FALSE
CRC1868	FALSE	FALSE	FALSE
CRC1870	FALSE	FALSE	FALSE
CRC1871	FALSE	FALSE	FALSE
CRC1874	FALSE	FALSE	FALSE
CRC1875	FALSE	FALSE	FALSE
CRC1876	FALSE	FALSE	FALSE
CRC1883	FALSE	FALSE	FALSE
CRC1885	FALSE	FALSE	FALSE
CRC1888	FALSE	FALSE	FALSE
CRC1889	FALSE	FALSE	FALSE
CRC1892	FALSE	FALSE	FALSE
CRC1893	FALSE	FALSE	FALSE
CRC1894	FALSE	FALSE	FALSE
CRC1895	FALSE	FALSE	FALSE
CRC1896	FALSE	FALSE	FALSE
CRC1897	FALSE	FALSE	FALSE
CRC1900	FALSE	FALSE	FALSE
CRC1901	FALSE	FALSE	FALSE
CRC1903	FALSE	FALSE	FALSE
CRC1904	FALSE	FALSE	FALSE
CRC1908	FALSE	FALSE	FALSE
CRC1912	FALSE	FALSE	FALSE
CRC1913	FALSE	FALSE	FALSE
CRC1914	FALSE	FALSE	FALSE
CRC1915	FALSE	FALSE	FALSE
CRC1916	FALSE	FALSE	FALSE
CRC1917	FALSE	FALSE	FALSE
CRC1918	FALSE	FALSE	FALSE
CRC1919	FALSE	FALSE	FALSE
CRC1921	FALSE	FALSE	FALSE
CRC1922	FALSE	FALSE	FALSE
CRC1928	FALSE	FALSE	FALSE
CRC1930	FALSE	FALSE	FALSE
CRC1946	FALSE	FALSE	FALSE
CRC1949	FALSE	FALSE	FALSE
CRC1951	FALSE	FALSE	FALSE
CRC1955	FALSE	FALSE	FALSE
CRC1961	FALSE	FALSE	FALSE
CRC1963	FALSE	FALSE	FALSE
CRC1969	FALSE	FALSE	FALSE
CRC1977	FALSE	FALSE	FALSE
CRC1978	FALSE	FALSE	FALSE
CRC1979	FALSE	FALSE	FALSE
CRC1982	FALSE	FALSE	FALSE
CRC1989	FALSE	FALSE	FALSE
CRC1990	FALSE	FALSE	FALSE
CRC2000	FALSE	FALSE	FALSE
CRC2022	FALSE	FALSE	FALSE
CRC2023	FALSE	FALSE	FALSE
CRC2026	FALSE	FALSE	FALSE
CRC2031	FALSE	FALSE	FALSE
CRC2036	FALSE	FALSE	FALSE
CRC2041	FALSE	FALSE	FALSE
CRC2044	FALSE	FALSE	FALSE
CRC2060	FALSE	FALSE	FALSE
CRC2069	FALSE	FALSE	FALSE
CRC2082	FALSE	FALSE	FALSE
CRC2083	FALSE	FALSE	FALSE
CRC2086	FALSE	FALSE	FALSE
CRC2095	FALSE	FALSE	FALSE
CRC2113	FALSE	FALSE	FALSE
CRC2127	FALSE	FALSE	FALSE
CRC2151	FALSE	FALSE	FALSE
CRC2153	FALSE	FALSE	FALSE
CRC2155	FALSE	FALSE	FALSE
CRC2163	FALSE	FALSE	FALSE
CRC2168	FALSE	FALSE	FALSE
CRC2180	FALSE	FALSE	FALSE
CRC2182	FALSE	FALSE	FALSE
CRC2183	FALSE	FALSE	FALSE
CRC2184	FALSE	FALSE	FALSE
CRC2185	FALSE	FALSE	FALSE
CRC2189	FALSE	FALSE	FALSE
CRC2207	FALSE	FALSE	FALSE
CRC2212	FALSE	FALSE	FALSE
CRC2235	FALSE	FALSE	FALSE
CRC2236	FALSE	FALSE	FALSE
CRC2241	FALSE	FALSE	FALSE
CRC2245	FALSE	FALSE	FALSE
CRC2247	FALSE	FALSE	FALSE
CRC2248	FALSE	FALSE	FALSE
CRC2252	FALSE	FALSE	FALSE
CRC2253	FALSE	FALSE	FALSE
CRC2268	FALSE	FALSE	FALSE
CRC2270	FALSE	FALSE	FALSE
CRC2279	FALSE	FALSE	FALSE
CRC2285	FALSE	FALSE	FALSE
CRC2298	FALSE	FALSE	FALSE
CRC2299	FALSE	FALSE	FALSE
CRC2307	FALSE	FALSE	FALSE
CRC2308	FALSE	FALSE	FALSE
CRC2310	FALSE	FALSE	FALSE
CRC2312	FALSE	FALSE	FALSE
CRC2313	FALSE	FALSE	FALSE
CRC2315	FALSE	FALSE	FALSE
CRC2333	FALSE	FALSE	FALSE
CRC2334	FALSE	FALSE	FALSE
CRC2335	FALSE	FALSE	FALSE
CRC2336	FALSE	FALSE	FALSE
CRC2338	FALSE	FALSE	FALSE
CRC2349	FALSE	FALSE	FALSE
CRC2350	FALSE	FALSE	FALSE
CRC2351	FALSE	FALSE	FALSE
CRC2352	FALSE	FALSE	FALSE
CRC2353	FALSE	FALSE	FALSE
CRC2354	FALSE	FALSE	FALSE
CRC2355	FALSE	FALSE	FALSE
CRC2356	FALSE	FALSE	FALSE
CRC2360	FALSE	FALSE	FALSE
CRC2361	FALSE	FALSE	FALSE
CRC2365	FALSE	FALSE	FALSE
CRC2367	FALSE	FALSE	FALSE
CRC2368	FALSE	FALSE	FALSE
CRC2370	FALSE	FALSE	FALSE
CRC2371	FALSE	FALSE	FALSE
CRC2377	FALSE	FALSE	FALSE
CRC2378	FALSE	FALSE	FALSE
CRC2379	FALSE	FALSE	FALSE
CRC2382	FALSE	FALSE	FALSE
CRC2384	FALSE	FALSE	FALSE
CRC2385	FALSE	FALSE	FALSE
CRC2387	FALSE	FALSE	FALSE
CRC2388	FALSE	FALSE	FALSE
CRC2390	FALSE	FALSE	FALSE
CRC2391	TRUE	FALSE	FALSE
CRC2392	TRUE	FALSE	FALSE
CRC2394	TRUE	FALSE	FALSE
CRC2400	FALSE	FALSE	FALSE
CRC2403	FALSE	FALSE	FALSE
CRC2404	FALSE	FALSE	FALSE
CRC2405	FALSE	FALSE	FALSE
CRC2406	FALSE	FALSE	FALSE
CRC2407	FALSE	FALSE	FALSE
CRC2408	FALSE	FALSE	FALSE
CRC2411	FALSE	FALSE	FALSE
CRC2412	FALSE	FALSE	FALSE
CRC2413	FALSE	FALSE	FALSE
CRC2420	FALSE	FALSE	FALSE
CRC2434	FALSE	FALSE	FALSE
CRC2435	FALSE	FALSE	FALSE
CRC2454	FALSE	FALSE	FALSE
CRC2457	FALSE	FALSE	FALSE
CRC2466	FALSE	FALSE	FALSE
CRC2467	FALSE	FALSE	FALSE
CRC2471	FALSE	FALSE	FALSE
CRC2477	FALSE	FALSE	FALSE
CRC2480	FALSE	FALSE	FALSE
CRC2486	FALSE	FALSE	FALSE
CRC2497	FALSE	FALSE	FALSE
CRC2498	FALSE	FALSE	FALSE
CRC2506	FALSE	FALSE	FALSE
CRC2509	FALSE	FALSE	FALSE
CRC2510	FALSE	FALSE	FALSE
CRC2515	FALSE	FALSE	FALSE
CRC2520	FALSE	FALSE	FALSE
CRC2525	FALSE	FALSE	FALSE
CRC2534	FALSE	FALSE	FALSE
CRC2544	FALSE	FALSE	FALSE
CRC2545	FALSE	FALSE	FALSE
CRC2546	FALSE	FALSE	FALSE
CRC2554	FALSE	FALSE	FALSE
CRC2559	FALSE	FALSE	FALSE
CRC2563	FALSE	FALSE	FALSE
CRC2564	FALSE	FALSE	FALSE
CRC2566	FALSE	FALSE	FALSE
CRC2567	FALSE	FALSE	FALSE
CRC2574	FALSE	FALSE	FALSE
CRC2576	FALSE	FALSE	FALSE
CRC2578	FALSE	FALSE	FALSE
CRC2583	FALSE	FALSE	FALSE
CRC2591	FALSE	FALSE	FALSE
CRC2595	FALSE	FALSE	FALSE
CRC2602	FALSE	FALSE	FALSE
CRC2604	FALSE	FALSE	FALSE
CRC2612	FALSE	FALSE	FALSE
CRC2621	FALSE	FALSE	FALSE
CRC2629	FALSE	FALSE	FALSE
CRC2646	FALSE	FALSE	FALSE
CRC0252	FALSE	FALSE	FALSE
CRC0316	FALSE	FALSE	FALSE
CRC0339	FALSE	FALSE	FALSE
CRC1619	FALSE	FALSE	FALSE
CRC2580	FALSE	FALSE	FALSE
CRC2603	FALSE	FALSE	FALSE
CRC2619	FALSE	FALSE	FALSE
CRC2623	FALSE	FALSE	FALSE
CRC2626	FALSE	FALSE	FALSE
CRC2627	FALSE	FALSE	FALSE
CRC2628	FALSE	FALSE	FALSE
CRC2643	FALSE	FALSE	FALSE
