case	CTG_5000	CTG_1250	CTG_20000	imaging_5000	imaging_1250	imaging_20000
CRC0022	1.09284782350848	0.801666811859337	1.05932600452917	0.969097505541621	0.757663880573609	0.860703312447764
CRC0030	0.414808625765895	0.616348276855141	0.265624300855231	0.511839780578863	0.731566177451504	0.31846350290135
CRC0031	0.729845705226535	0.798093621919875	1.45304809584396	0.525289639969909	0.905567202228264	0.898344485155269
CRC0051	0.800078005156325	0.72641331385627	1.05545177497519	0.929191941397866	0.947684560934162	0.863521590064991
CRC0055	0.892442053400276	0.768842098676595	0.800156686499171	0.750242316165065	0.858354233787116	1.00127393704587
CRC0059	0.231446641799671	NA	0.488307535814629	0.306603706567847	NA	0.649274825430754
CRC0065	0.321925203677649	0.298692477500425	0.346017563435347	0.466542834124782	1.08551605244365	0.429764097906666
CRC0066	0.626122776942556	0.649206206257719	0.77627997070716	0.603105829354941	0.671430858980581	0.845989387450291
CRC0069	0.38742045868502	0.561056248244268	0.398835758577024	0.297965493973938	0.504700030160986	0.332964240257038
CRC0076	0.302227936743159	0.271824945512595	0.265334968081258	0.579113368646638	0.373501434011506	0.43079920927161
CRC0078	0.256218309278968	0.535719368151416	0.19155044106705	0.431855131188362	1.03049151806113	0.333946803572563
CRC0079	0.715083377348525	0.877872980870886	0.773658689191303	1.2424681130643	0.941087352708338	1.01722530216608
CRC0080	0.121110572263468	0.11333195287553	0.645287500230147	0.202716508735473	0.322070153013232	0.550449688602555
CRC0095	0.416942706636061	0.622310203639906	0.440732107763743	0.572024265594181	0.6469798050118	0.472153698645402
CRC0096	0.175230017888911	0.22645888222434	0.315420762681149	0.238591111918211	0.607378473384681	0.315266558472483
CRC0097	0.498460749102104	0.635900050994391	0.352335050689712	0.880240699182461	1.67550804007108	0.462228032522582
CRC0099	0.454510630683026	0.557949242472671	0.555907795318686	0.43670495988611	0.52660941697764	0.610077430780742
CRC0103	0.520817936075648	1.05705831365633	0.756056466412763	0.810418489597181	1.1362777544681	0.842597549324113
CRC0123	0.762112973367274	1.16392294999083	1.19226457916958	0.935330188294641	1.2319895059067	0.84449020413786
CRC0124	0.29822707887056	0.495584105493074	0.87308034445394	0.272797363414952	0.540616631413429	0.478523976386587
CRC0125	0.975471305135086	0.8992483196357	1.10093286280555	0.957782422199192	0.979350558195416	1.02887865228371
CRC0134	0.958280291876552	1.14409576964676	1.04489572898643	1.02082747309755	0.841811644624278	1.07178985681421
CRC0137	0.352227693046716	0.73843648208469	0.319834576028773	0.864660083540203	1.37686127748648	0.806205795732541
CRC0148	0.971141152467982	1.00524719269386	0.990414323454047	0.884573355646724	1.02694453297031	1.02886058350402
CRC0150	1.03677094529615	0.716738878350727	1.21989037064375	0.861221109554616	0.847050118832709	1.04285656542408
CRC0151	1.04575894332327	NA	0.931584355676982	1.06385909157958	NA	1.7390079570085
CRC0152	0.847456191653057	0.346330311391407	0.996400097515895	0.516624708843033	0.349400774502389	1.02784974308221
CRC0161	1.15869455197035	1.52657899427621	1.06236550261929	1.20756061979322	1.79727099747758	1.03191883978865
CRC0166	0.389352379809135	0.39732439599499	0.905077042527197	0.548624765189652	0.724460381831597	0.791445549710574
CRC0169	0.8034299070298	0.75581469853271	1.26619170120175	0.581002690569304	0.652876595023972	0.802954137021894
CRC0171	0.252445734683147	0.714295793528723	0.555359638831036	0.282501153881703	0.619411495440256	0.498325548958109
CRC0177	0.265615376696185	0.437800824064451	0.3505481011007	0.592951388374136	0.579700513915897	0.701450716983589
CRC0186	0.919057415112564	0.964020327498588	0.940552917232022	0.793496571340412	1.13295631394387	1.08148867027304
CRC0188	0.450040864523148	0.750808186343802	0.543903217372199	0.599208106956928	0.710243743369367	0.555464541674216
CRC0196	1.00013136500635	0.877975075982548	0.955719070737542	1.05591114425814	0.913994444532969	0.751385331151648
CRC0197	0.950223992895806	1.24553036913773	0.900404606847262	1.01811254025078	0.94645289775595	1.20812950743429
CRC0204	0.346021921613465	0.381159664373594	0.312283187497262	0.243432976342426	0.418765577615203	0.490471185116228
CRC0231	0.874999725373108	0.941644505279625	1.01172416333258	0.943825234412614	0.90786508843203	1.08097492579156
CRC0254	0.206544485619984	0.143972879157308	0.497534549165717	0.252497889332788	0.290081177424955	0.53335582394367
CRC0285	0.245991017316884	0.749331265749176	0.146967856435174	0.414116246221572	0.793586717012198	0.316071302120179
CRC0291	0.728789774409213	0.775410878661088	1.1658813306476	0.812829254241818	0.846402388829827	0.957709409939579
CRC0297	0.304827143315851	0.419885758543906	0.260542246789718	1.44031210651466	1.42722260414922	0.605878240558097
CRC0316	0.308159057049927	0.444609965611817	0.471791222133006	0.367196351512963	0.472291133702884	0.480403020310204
CRC0322	0.22922098477654	NA	0.844536766740186	0.261187819238296	NA	0.550543557025678
CRC0327	0.105371641093635	0.0984431027964578	0.288636530637006	0.238002569062342	0.343811993929723	0.467471206713975
CRC0370	0.637512165230869	0.411211699164345	0.474905613975347	0.742187577261069	0.729047399491466	0.666566004599832
CRC0399	0.405551195463539	0.448370715192552	0.224176318870208	0.421394928466171	0.369862152043804	0.411136151155481
CRC0403	0.128957976593409	0.157079678740996	0.170267641758598	0.416076866982735	0.490075116736798	0.614831124561714
CRC0404	0.451311798367679	0.619131635471003	0.498605563475327	0.570660522655916	0.739648983959969	0.719991650095154
CRC0441	0.443939255642015	0.658386174673883	1.33623294516886	0.556791117393717	0.89397506921922	0.652956128514966
CRC0464	0.498434530143753	0.195479353890319	1.23098562335524	0.96872610334152	1.21862688293422	1.02858215963137
CRC0475	0.272284150385553	0.322571638501102	0.38763301775158	0.561241334946784	0.659186329676147	0.78051272674646
CRC0515	0.975909970107262	0.968678035458989	1.04829270150523	0.861956276102225	0.723624450422181	1.00629581809949
CRC0534	0.210574716670462	NA	0.225555012968039	1.14689692933129	NA	0.431918466552698
CRC0542	0.207340080059533	0.331061939406488	0.422055467996519	0.368478484368788	0.407536865616464	0.511196327870719
